"id накладной";Дата;"Номер накладной";"id поставщика";"id продукта";"Шифр продукта";"Название продукта";"К-во продукта";Стоимость;"Срок хранения";"Название поставщика"
5870;"2020-05-07 10:02:56";"внутреннее перемещение Кистени бш";;162;615030;Чернослив;-0.5;-2.59;;
5870;"2020-05-07 10:02:56";"внутреннее перемещение Кистени бш";;112;613045;Пшено;-2;-3.94;;
5877;"2020-05-07 10:36:00";"внутреннее перемещение194зборов";;96;612036;"Молоко свежее";-2.7;-3.13;;
5879;"2020-05-08 10:41:32";"внутреннее перемещение я/с 10195";;213|13;610001;"Говядина (т/часть)";-1;-11.45;;
